Gene	Num_Studies	Studies	Response	SB_count	SB_Response_Summary	SB_Ind_Responses	SB_CellFrac	TCPOBOP_count	TCPOBOP_Response_Summary	TCPOBOP_Ind_Responses	TCPOBOP_CellFrac	Background
SHISA8	1	G21_TCPOBOP	G21_TCPOBOP_Down_AC_1_FC_0	0	NotSexBiased	NA	NA	1	Induced_Male_Down_T27	M_D_T27	0100000000	FALSE
SHOC2	1	M19_SSI	M19_SSI	1	SSI	I	NA	0	NotInduced	NA	NA	TRUE
SHPRH	1	M19_SSI	M19_SSI	1	SSI	I	NA	0	NotInduced	NA	NA	TRUE
SHROOM1	2	G21_TCPOBOP:L17	G21_TCPOBOP_Up_AC_4_FC_4:L17_M27_U_F3_U	0	NotSexBiased	NA	NA	2	Induced_Male_Up_Both	B_U_T27,B_U_B	0222222022	FALSE
SIDT1	2	G21_TCPOBOP:L17	G21_TCPOBOP_Up_AC_1_FC_3:L17_M27_U	0	NotSexBiased	NA	NA	2	Induced_Both_Both_T27	B_U_T27,M_D_T27	2000022002	FALSE
SIGIRR	1	M19	M19_1_Weak_F	1	SexBiased_Female	F	NA	0	NotInduced	NA	NA	FALSE
SIGLECH	1	M19	M19_0_WeakMismatch_F	1	Conflict	C	NA	0	NotInduced	NA	NA	FALSE
SIGMAR1	1	G21_TCPOBOP	G21_TCPOBOP_Down_AC_0_FC_1	0	NotSexBiased	NA	NA	1	Induced_Female_Down_T27	F_D_T27	0000000001	FALSE
SIK1	3	G21_SB:G21_TCPOBOP:G22	G21_SB_Female_AC_1:G21_TCPOBOP_Up_AC_4_FC_1:G22_220000000	2	SexBiased_Female	F	00002	1	Induced_Male_Up_T27	B_U_T27	0222202000	FALSE
SIK3	1	M19_SSI	M19_SSI	1	SSI	I	NA	0	NotInduced	NA	NA	TRUE
SIL1	1	M19_SSI	M19_SSI	1	SSI	I	NA	0	NotInduced	NA	NA	TRUE
SIPA1L1	1	G21_TCPOBOP	G21_TCPOBOP_Up_AC_0_FC_1	0	NotSexBiased	NA	NA	1	Induced_Female_Up_T27	F_U_T27	0000002000	FALSE
SIPA1L2	4	G21_SB:G21_TCPOBOP:G22:L17	G21_SB_Male_AC_1:G21_TCPOBOP_Up_AC_0_FC_3:G22_010000000:L17_M27_U	2	SexBiased_Male	M	00010	2	Induced_Both_Both_T27	F_U_T27,M_D_T27	0000002022	FALSE
SIRT1	1	M19_SSI	M19_SSI	1	SSI	I	NA	0	NotInduced	NA	NA	TRUE
SIRT3	2	G21_TCPOBOP:M19_SSI	G21_TCPOBOP_Down_AC_0_FC_2:M19_SSI	1	SSI	I	NA	1	Induced_Female_Down_T27	F_D_T27	0000011000	FALSE
SIRT5	1	M19_SSI	M19_SSI	1	SSI	I	NA	0	NotInduced	NA	NA	TRUE
SIRT7	1	M19_SSI	M19_SSI	1	SSI	I	NA	0	NotInduced	NA	NA	TRUE
SKA2	1	L17	L17_M27_U	0	NotSexBiased	NA	NA	1	Induced_Male_Down_T27	M_D_T27	NA	FALSE
SKI	1	G22	G22_020000000	1	SexBiased_Female	F	NA	0	NotInduced	NA	NA	FALSE
SLAIN2	1	M19_SSI	M19_SSI	1	SSI	I	NA	0	NotInduced	NA	NA	TRUE
SLC10A1	1	L17	L17_M27_U	0	NotSexBiased	NA	NA	1	Induced_Male_Down_T27	M_D_T27	NA	FALSE
SLC10A2	2	G21_TCPOBOP:L17	G21_TCPOBOP_Up_AC_4_FC_2:L17_M27_U	0	NotSexBiased	NA	NA	2	Induced_Both_Both_T27	B_U_T27,M_D_T27	2022200022	FALSE
SLC10A5	1	L17	L17_M27_U	0	NotSexBiased	NA	NA	1	Induced_Male_Down_T27	M_D_T27	NA	FALSE
SLC10A7	1	M19_SSI	M19_SSI	1	SSI	I	NA	0	NotInduced	NA	NA	TRUE
SLC12A3	1	G22	G22_100000000	1	SexBiased_Male	M	NA	0	NotInduced	NA	NA	FALSE
SLC12A5	1	L17	L17_M27_D	0	NotSexBiased	NA	NA	1	Induced_Male_Down_T27	M_D_T27	NA	FALSE
