Gene	Num_Studies	Studies	Response	SB_count	SB_Response_Summary	SB_Ind_Responses	SB_CellFrac	TCPOBOP_count	TCPOBOP_Response_Summary	TCPOBOP_Ind_Responses	TCPOBOP_CellFrac	Background
0610009B22RIK	1	M19_SSI	M19_SSI	1	SSI	I	NA	0	NotInduced	NA	NA	TRUE
0610010F05RIK	1	M19_SSI	M19_SSI	1	SSI	I	NA	0	NotInduced	NA	NA	TRUE
0610040J01RIK	1	M19_SSI	M19_SSI	1	SSI	I	NA	0	NotInduced	NA	NA	TRUE
1110004F10RIK	1	M19_SSI	M19_SSI	1	SSI	I	NA	0	NotInduced	NA	NA	TRUE
1110008P14RIK	1	M19_SSI	M19_SSI	1	SSI	I	NA	0	NotInduced	NA	NA	TRUE
1110054M08RIK	1	G21_TCPOBOP	G21_TCPOBOP_Down_AC_0_FC_1	0	NotSexBiased	NA	NA	1	Induced_Female_Down_T27	F_D_T27	0000001000	FALSE
1110057K04RIK	1	M19	M19_1_Weak_M	1	SexBiased_Male	M	NA	0	NotInduced	NA	NA	FALSE
1500015A07RIK	1	G21_TCPOBOP	G21_TCPOBOP_Down_AC_0_FC_1	0	NotSexBiased	NA	NA	1	Induced_Female_Down_T27	F_D_T27	0000010000	FALSE
1500017E21RIK	1	L17	L17_M27_D_F3_D	0	NotSexBiased	NA	NA	1	Induced_Male_Down_T27	B_D_B	NA	FALSE
1600002H07RIK	2	G21_TCPOBOP:L17	G21_TCPOBOP_Down_AC_0_FC_2:L17_M27_D_F3_D	0	NotSexBiased	NA	NA	2	Induced_Both_Down_Both	F_D_T27,B_D_B	0000011000	FALSE
1600014C10RIK	2	G22:M19_SSI	G22_110000000:M19_SSI	2	Conflict	M,I	NA	0	NotInduced	NA	NA	FALSE
1600014K23RIK	1	M19	M19_0_WeakMismatch_M	1	Conflict	C	NA	0	NotInduced	NA	NA	FALSE
1700019G17RIK	1	M19	M19_1_WeakMismatch_M	1	Conflict	C	NA	0	NotInduced	NA	NA	FALSE
1700020I14RIK	1	L17	L17_M27_U	0	NotSexBiased	NA	NA	1	Induced_Male_Down_T27	M_D_T27	NA	FALSE
1700024P16RIK	2	G21_TCPOBOP:L17	G21_TCPOBOP_Up_AC_5_FC_5:L17_M3_U_M27_U_F3_U	0	NotSexBiased	NA	NA	2	Induced_Male_Up_Both	B_U_T27,B_U_B	2222222222	FALSE
1700040L02RIK	1	M19	M19_0_Weak_F	1	SexBiased_Female	F	NA	0	NotInduced	NA	NA	FALSE
1700055N04RIK	2	G21_SB:M19	G21_SB_Female_AC_5:M19_NA_Robust_F	2	SexBiased_Female	F	22222	0	NotInduced	NA	NA	FALSE
1700113H08RIK	1	M19	M19_1_WeakMismatch_M	1	Conflict	C	NA	0	NotInduced	NA	NA	FALSE
1810008I18RIK	1	L17	L17_F3_D	0	NotSexBiased	NA	NA	1	Induced_Female_Down_T3	F_D_T3	NA	FALSE
1810011H11RIK	1	G21_SB	G21_SB_Female_AC_1	1	SexBiased_Female	F	00020	0	NotInduced	NA	NA	FALSE
1810011O10RIK	3	G21_TCPOBOP:L17:M19	G21_TCPOBOP_Down_AC_0_FC_1:L17_M27_D:M19_1_Weak_F	1	SexBiased_Female	F	NA	2	Induced_Both_Down_T27	F_D_T27,M_D_T27	0000000001	FALSE
1810019D21RIK	1	L17	L17_M27_D	0	NotSexBiased	NA	NA	1	Induced_Male_Down_T27	M_D_T27	NA	FALSE
1810032O08RIK	1	L17	L17_M27_U_F3_U	0	NotSexBiased	NA	NA	1	Induced_Male_Up_T27	B_U_B	NA	FALSE
1810046K07RIK	1	M19	M19_1_Weak_F	1	SexBiased_Female	F	NA	0	NotInduced	NA	NA	FALSE
1810053B23RIK	1	L17	L17_M3_U_M27_U_F3_U	0	NotSexBiased	NA	NA	1	Induced_Male_Up_T27	B_U_B	NA	FALSE
1810055G02RIK	3	G21_TCPOBOP:L17:M19	G21_TCPOBOP_Up_AC_3_FC_5:L17_F3_U:M19_1_Weak_M	1	SexBiased_Male	M	NA	2	Induced_Both_Up_Both	B_U_T27,F_U_T3	2220022222	FALSE
1810058I24RIK	2	G21_TCPOBOP:L17	G21_TCPOBOP_Down_AC_0_FC_1:L17_M27_D	0	NotSexBiased	NA	NA	2	Induced_Both_Down_T27	F_D_T27,M_D_T27	0000001000	FALSE
1810064F22RIK	1	G22	G22_110000000	1	SexBiased_Male	M	NA	0	NotInduced	NA	NA	FALSE
2010003K11RIK	2	G21_TCPOBOP:M19	G21_TCPOBOP_Up_AC_0_FC_2:M19_0_Weak_M	1	SexBiased_Male	M	NA	1	Induced_Female_Up_T27	F_U_T27	0000022000	FALSE
2010106E10RIK	1	M19	M19_0_Robust_M	1	SexBiased_Male	M	NA	0	NotInduced	NA	NA	FALSE
2010111I01RIK	1	G21_TCPOBOP	G21_TCPOBOP_Down_AC_0_FC_1	0	NotSexBiased	NA	NA	1	Induced_Female_Down_T27	F_D_T27	0000001000	FALSE
2200002D01RIK	1	M19	M19_NA_Robust_M	1	SexBiased_Male	M	NA	0	NotInduced	NA	NA	FALSE
2210013O21RIK	1	M19	M19_7_Weak_F	1	SexBiased_Female	F	NA	0	NotInduced	NA	NA	FALSE
2300009A05RIK	1	M19_SSI	M19_SSI	1	SSI	I	NA	0	NotInduced	NA	NA	TRUE
2310001H17RIK	1	G21_TCPOBOP	G21_TCPOBOP_Down_AC_1_FC_1	0	NotSexBiased	NA	NA	1	Induced_Male_Down_T27	B_D_T27	0010010000	FALSE
2310003H01RIK	2	G21_TCPOBOP:L17	G21_TCPOBOP_Up_AC_0_FC_2:L17_M27_U	0	NotSexBiased	NA	NA	2	Induced_Both_Both_T27	F_U_T27,M_D_T27	0000022000	FALSE
2310014L17RIK	1	M19	M19_0_Weak_F	1	SexBiased_Female	F	NA	0	NotInduced	NA	NA	FALSE
2310030G06RIK	1	M19_SSI	M19_SSI	1	SSI	I	NA	0	NotInduced	NA	NA	TRUE
2310033P09RIK	1	M19_SSI	M19_SSI	1	SSI	I	NA	0	NotInduced	NA	NA	TRUE
2310040G07RIK	1	G22	G22_010000000	1	SexBiased_Male	M	NA	0	NotInduced	NA	NA	FALSE
2410002F23RIK	1	M19_SSI	M19_SSI	1	SSI	I	NA	0	NotInduced	NA	NA	TRUE
2510009E07RIK	1	G22	G22_020000000	1	SexBiased_Female	F	NA	0	NotInduced	NA	NA	FALSE
2510039O18RIK	1	M19_SSI	M19_SSI	1	SSI	I	NA	0	NotInduced	NA	NA	TRUE
2610305D13RIK	2	L17:M19	L17_M3_D:M19_0_WeakMismatch_F	1	Conflict	C	NA	1	Induced_Male_Down_T3	M_D_T3	NA	FALSE
2610507B11RIK	1	M19_SSI	M19_SSI	1	SSI	I	NA	0	NotInduced	NA	NA	TRUE
2610507I01RIK	3	G21_SB:G21_TCPOBOP:G22	G21_SB_Male_AC_1:G21_TCPOBOP_Down_AC_5_FC_0:G22_110000000	2	SexBiased_Male	M	10000	1	Induced_Male_Down_T27	M_D_T27	1111100000	FALSE
2700097O09RIK	1	G21_TCPOBOP	G21_TCPOBOP_Up_AC_0_FC_1	0	NotSexBiased	NA	NA	1	Induced_Female_Up_T27	F_U_T27	0000000002	FALSE
2700099C18RIK	2	G21_TCPOBOP:L17	G21_TCPOBOP_Up_AC_0_FC_1:L17_M27_U	0	NotSexBiased	NA	NA	2	Induced_Both_Both_T27	F_U_T27,M_D_T27	0000000020	FALSE
2810004N23RIK	1	M19_SSI	M19_SSI	1	SSI	I	NA	0	NotInduced	NA	NA	TRUE
2810007J24RIK	1	G21_TCPOBOP	G21_TCPOBOP_Down_AC_2_FC_0	0	NotSexBiased	NA	NA	1	Induced_Male_Down_T27	M_D_T27	0100100000	FALSE
2810459M11RIK	2	G21_TCPOBOP:L17	G21_TCPOBOP_Down_AC_0_FC_1:L17_F3_D	0	NotSexBiased	NA	NA	2	Induced_Female_Down_Both	F_D_T27,F_D_T3	0000001000	FALSE
2900026A02RIK	2	G21_TCPOBOP:M19_SSI	G21_TCPOBOP_Up_AC_1_FC_1:M19_SSI	1	SSI	I	NA	1	Induced_Male_Up_T27	B_U_T27	0200002000	FALSE
3000002C10RIK	1	G21_TCPOBOP	G21_TCPOBOP_Up_AC_1_FC_0	0	NotSexBiased	NA	NA	1	Induced_Male_Up_T27	M_U_T27	0200000000	FALSE
3010026O09RIK	2	G21_TCPOBOP:L17	G21_TCPOBOP_Up_AC_0_FC_1:L17_M3_U	0	NotSexBiased	NA	NA	2	Induced_Both_Up_Both	F_U_T27,M_U_T3	0000000002	FALSE
3110082I17RIK	2	G21_TCPOBOP:M19	G21_TCPOBOP_Down_AC_1_FC_3:M19_1_Weak_M	1	SexBiased_Male	M	NA	1	Induced_Male_Down_T27	B_D_T27	0000101101	FALSE
3930402G23RIK	1	G21_TCPOBOP	G21_TCPOBOP_Down_AC_0_FC_3	0	NotSexBiased	NA	NA	1	Induced_Female_Down_T27	F_D_T27	0000011010	FALSE
4632427E13RIK	1	L17	L17_M27_U	0	NotSexBiased	NA	NA	1	Induced_Male_Down_T27	M_D_T27	NA	FALSE
4833411C07RIK	1	G21_TCPOBOP	G21_TCPOBOP_Down_AC_0_FC_2	0	NotSexBiased	NA	NA	1	Induced_Female_Down_T27	F_D_T27	0000011000	FALSE
4833420G17RIK	1	M19_SSI	M19_SSI	1	SSI	I	NA	0	NotInduced	NA	NA	TRUE
4930431F12RIK	1	L17	L17_M27_U	0	NotSexBiased	NA	NA	1	Induced_Male_Down_T27	M_D_T27	NA	FALSE
4930453N24RIK	1	L17	L17_M27_U	0	NotSexBiased	NA	NA	1	Induced_Male_Down_T27	M_D_T27	NA	FALSE
4930503L19RIK	1	G21_TCPOBOP	G21_TCPOBOP_Up_AC_1_FC_0	0	NotSexBiased	NA	NA	1	Induced_Male_Up_T27	M_U_T27	0000200000	FALSE
4930506A18RIK	1	G21_TCPOBOP	G21_TCPOBOP_Up_AC_3_FC_1	0	NotSexBiased	NA	NA	1	Induced_Male_Up_T27	B_U_T27	2220020000	FALSE
4930523C07RIK	1	G21_TCPOBOP	G21_TCPOBOP_Down_AC_1_FC_1	0	NotSexBiased	NA	NA	1	Induced_Male_Down_T27	B_D_T27	0001000010	FALSE
4930557A04RIK	1	G21_TCPOBOP	G21_TCPOBOP_Up_AC_1_FC_2	0	NotSexBiased	NA	NA	1	Induced_Male_Up_T27	B_U_T27	0000200022	FALSE
4931406C07RIK	2	G21_TCPOBOP:L17	G21_TCPOBOP_Up_AC_5_FC_5:L17_M3_U_M27_U_F3_U	0	NotSexBiased	NA	NA	2	Induced_Male_Up_Both	B_U_T27,B_U_B	2222222222	FALSE
4933406C10RIK	1	L17	L17_M27_D	0	NotSexBiased	NA	NA	1	Induced_Male_Down_T27	M_D_T27	NA	FALSE
4933406I18RIK	1	L17	L17_M27_U	0	NotSexBiased	NA	NA	1	Induced_Male_Down_T27	M_D_T27	NA	FALSE
4933411K16RIK	1	L17	L17_M27_U	0	NotSexBiased	NA	NA	1	Induced_Male_Down_T27	M_D_T27	NA	FALSE
5031439G07RIK	1	G21_TCPOBOP	G21_TCPOBOP_Down_AC_1_FC_0	0	NotSexBiased	NA	NA	1	Induced_Male_Down_T27	M_D_T27	0000100000	FALSE
5330417C22RIK	2	G21_TCPOBOP:G22	G21_TCPOBOP_Up_AC_0_FC_1:G22_010000000	1	SexBiased_Male	M	NA	1	Induced_Female_Up_T27	F_U_T27	0000000020	FALSE
5730420D15RIK	1	L17	L17_M3_U	0	NotSexBiased	NA	NA	1	Induced_Male_Up_T3	M_U_T3	NA	FALSE
6030443J06RIK	1	L17	L17_M27_U	0	NotSexBiased	NA	NA	1	Induced_Male_Down_T27	M_D_T27	NA	FALSE
6030458C11RIK	1	M19_SSI	M19_SSI	1	SSI	I	NA	0	NotInduced	NA	NA	TRUE
6430550D23RIK	1	G21_TCPOBOP	G21_TCPOBOP_Down_AC_1_FC_0	0	NotSexBiased	NA	NA	1	Induced_Male_Down_T27	M_D_T27	0010000000	FALSE
6430573F11RIK	1	L17	L17_M27_D	0	NotSexBiased	NA	NA	1	Induced_Male_Down_T27	M_D_T27	NA	FALSE
8430408G22RIK	1	L17	L17_F3_D	0	NotSexBiased	NA	NA	1	Induced_Female_Down_T3	F_D_T3	NA	FALSE
8430419L09RIK	1	L17	L17_M27_D	0	NotSexBiased	NA	NA	1	Induced_Male_Down_T27	M_D_T27	NA	FALSE
9130401M01RIK	1	M19_SSI	M19_SSI	1	SSI	I	NA	0	NotInduced	NA	NA	TRUE
9130409I23RIK	3	G21_TCPOBOP:L17:M19	G21_TCPOBOP_Up_AC_5_FC_5:L17_M3_U_M27_U_F3_U:M19_3_Weak_M	1	SexBiased_Male	M	NA	2	Induced_Male_Up_Both	B_U_T27,B_U_B	2222222222	FALSE
9230116L04RIK	2	G21_TCPOBOP:L17	G21_TCPOBOP_Up_AC_4_FC_4:L17_M27_U_F3_U	0	NotSexBiased	NA	NA	2	Induced_Male_Up_Both	B_U_T27,B_U_B	2220222022	FALSE
9330159M07RIK	1	G21_TCPOBOP	G21_TCPOBOP_Up_AC_0_FC_2	0	NotSexBiased	NA	NA	1	Induced_Female_Up_T27	F_U_T27	0000002002	FALSE
9330162012RIK	1	L17	L17_M27_U	0	NotSexBiased	NA	NA	1	Induced_Male_Down_T27	M_D_T27	NA	FALSE
9330182L06RIK	1	G22	G22_020000000	1	SexBiased_Female	F	NA	0	NotInduced	NA	NA	FALSE
9430037G07RIK	2	G21_TCPOBOP:L17	G21_TCPOBOP_Up_AC_0_FC_2:L17_M27_U	0	NotSexBiased	NA	NA	2	Induced_Both_Both_T27	F_U_T27,M_D_T27	0000000202	FALSE
9530068E07RIK	2	G21_TCPOBOP:L17	G21_TCPOBOP_Up_AC_3_FC_1:L17_M27_U	0	NotSexBiased	NA	NA	2	Induced_Both_Both_T27	B_U_T27,M_D_T27	0022202000	FALSE
9530082P21RIK	1	G21_SB	G21_SB_Female_AC_2	1	SexBiased_Female	F	00022	0	NotInduced	NA	NA	FALSE
9530091C08RIK	1	G21_TCPOBOP	G21_TCPOBOP_Down_AC_0_FC_2	0	NotSexBiased	NA	NA	1	Induced_Female_Down_T27	F_D_T27	0000001010	FALSE
9630033F20RIK	1	G21_TCPOBOP	G21_TCPOBOP_Up_AC_1_FC_0	0	NotSexBiased	NA	NA	1	Induced_Male_Up_T27	M_U_T27	0200000000	FALSE
A1BG	4	G21_SB:G22:L17:M19	G21_SB_Female_AC_5:G22_222222222:L17_M3_U:M19_8_Robust_F	3	SexBiased_Female	F	22222	1	Induced_Male_Up_T3	M_U_T3	NA	FALSE
A1CF	2	G21_TCPOBOP:L17	G21_TCPOBOP_Up_AC_1_FC_1:L17_M27_U	0	NotSexBiased	NA	NA	2	Induced_Both_Both_T27	B_U_T27,M_D_T27	0020002000	FALSE
A2M	3	G21_SB:G21_TCPOBOP:M19	G21_SB_Female_AC_1:G21_TCPOBOP_Down_AC_0_FC_1:M19_0_Robust_M	2	Conflict	F,M	20000	1	Induced_Female_Down_T27	F_D_T27	0000010000	FALSE
A430005L14RIK	1	M19_SSI	M19_SSI	1	SSI	I	NA	0	NotInduced	NA	NA	TRUE
A530016L24RIK	1	M19	M19_0_Weak_F	1	SexBiased_Female	F	NA	0	NotInduced	NA	NA	FALSE
A530032D15RIK	1	M19	M19_NA_Weak_F	1	SexBiased_Female	F	NA	0	NotInduced	NA	NA	FALSE
A630001G21RIK	1	L17	L17_F3_U	0	NotSexBiased	NA	NA	1	Induced_Female_Up_T3	F_U_T3	NA	FALSE
A830010M20RIK	2	G21_TCPOBOP:L17	G21_TCPOBOP_Down_AC_0_FC_1:L17_M27_D	0	NotSexBiased	NA	NA	2	Induced_Both_Down_T27	F_D_T27,M_D_T27	0000000001	FALSE
A930002C04RIK	1	G22	G22_220000000	1	SexBiased_Female	F	NA	0	NotInduced	NA	NA	FALSE
A930033H14RIK	1	G22	G22_110000000	1	SexBiased_Male	M	NA	0	NotInduced	NA	NA	FALSE
AA986860	1	G22	G22_110000000	1	SexBiased_Male	M	NA	0	NotInduced	NA	NA	FALSE
AAAS	1	M19_SSI	M19_SSI	1	SSI	I	NA	0	NotInduced	NA	NA	TRUE
AACS	2	G21_TCPOBOP:G22	G21_TCPOBOP_Up_AC_3_FC_0:G22_220000000	1	SexBiased_Female	F	NA	1	Induced_Male_Up_T27	M_U_T27	0222000000	FALSE
AADAT	1	M19	M19_2_Weak_M	1	SexBiased_Male	M	NA	0	NotInduced	NA	NA	FALSE
AANAT	1	G21_TCPOBOP	G21_TCPOBOP_Up_AC_0_FC_1	0	NotSexBiased	NA	NA	1	Induced_Female_Up_T27	F_U_T27	0000000002	FALSE
AAR2	1	M19_SSI	M19_SSI	1	SSI	I	NA	0	NotInduced	NA	NA	TRUE
AARS2	1	M19_SSI	M19_SSI	1	SSI	I	NA	0	NotInduced	NA	NA	TRUE
AARSD1	1	M19_SSI	M19_SSI	1	SSI	I	NA	0	NotInduced	NA	NA	TRUE
AASDHPPT	1	M19_SSI	M19_SSI	1	SSI	I	NA	0	NotInduced	NA	NA	TRUE
AASS	1	L17	L17_M27_D	0	NotSexBiased	NA	NA	1	Induced_Male_Down_T27	M_D_T27	NA	FALSE
AATF	1	M19_SSI	M19_SSI	1	SSI	I	NA	0	NotInduced	NA	NA	TRUE
AATK	1	M19	M19_1_Weak_M	1	SexBiased_Male	M	NA	0	NotInduced	NA	NA	FALSE
ABCA3	1	M19	M19_2_Weak_F	1	SexBiased_Female	F	NA	0	NotInduced	NA	NA	FALSE
ABCA8A	2	G21_TCPOBOP:M19_SSI	G21_TCPOBOP_Down_AC_1_FC_4:M19_SSI	1	SSI	I	NA	1	Induced_Male_Down_T27	B_D_T27	0001011011	FALSE
ABCA8B	1	M19_SSI	M19_SSI	1	SSI	I	NA	0	NotInduced	NA	NA	TRUE
ABCB1A	2	G21_TCPOBOP:M19	G21_TCPOBOP_Up_AC_0_FC_1:M19_0_Robust_F	1	SexBiased_Female	F	NA	1	Induced_Female_Up_T27	F_U_T27	0000020000	FALSE
ABCB1B	2	G22:M19	G22_100000000:M19_0_Weak_M	2	SexBiased_Male	M	NA	0	NotInduced	NA	NA	FALSE
ABCB4	2	G21_TCPOBOP:L17	G21_TCPOBOP_Down_AC_3_FC_1:L17_M27_D_F3_D	0	NotSexBiased	NA	NA	2	Induced_Male_Down_Both	B_D_T27,B_D_B	0110101000	FALSE
ABCB6	1	M19_SSI	M19_SSI	1	SSI	I	NA	0	NotInduced	NA	NA	TRUE
ABCB7	1	M19_SSI	M19_SSI	1	SSI	I	NA	0	NotInduced	NA	NA	TRUE
ABCC12	1	M19	M19_0_WeakMismatch_M	1	Conflict	C	NA	0	NotInduced	NA	NA	FALSE
ABCC2	3	G21_TCPOBOP:L17:M19_SSI	G21_TCPOBOP_Up_AC_3_FC_4:L17_M27_U:M19_SSI	1	SSI	I	NA	2	Induced_Both_Both_T27	B_U_T27,M_D_T27	0220222022	FALSE
ABCC3	2	G21_TCPOBOP:L17	G21_TCPOBOP_Up_AC_4_FC_4:L17_M27_U_F3_U	0	NotSexBiased	NA	NA	2	Induced_Male_Up_Both	B_U_T27,B_U_B	0222222022	FALSE
ABCC4	3	G21_TCPOBOP:L17:M19	G21_TCPOBOP_Up_AC_2_FC_5:L17_M27_U:M19_4_Weak_F	1	SexBiased_Female	F	NA	2	Induced_Both_Both_T27	B_U_T27,M_D_T27	2000222222	FALSE
ABCD1	1	G21_TCPOBOP	G21_TCPOBOP_Up_AC_0_FC_1	0	NotSexBiased	NA	NA	1	Induced_Female_Up_T27	F_U_T27	0000002000	FALSE
ABCD2	3	G21_SB:G22:M19	G21_SB_Female_AC_3:G22_220000000:M19_7_Robust_F	3	SexBiased_Female	F	22020	0	NotInduced	NA	NA	FALSE
ABCD3	2	G21_TCPOBOP:M19_SSI	G21_TCPOBOP_Up_AC_4_FC_1:M19_SSI	1	SSI	I	NA	1	Induced_Male_Up_T27	B_U_T27	0222202000	FALSE
ABCE1	1	L17	L17_M27_U	0	NotSexBiased	NA	NA	1	Induced_Male_Down_T27	M_D_T27	NA	FALSE
ABCF1	1	M19_SSI	M19_SSI	1	SSI	I	NA	0	NotInduced	NA	NA	TRUE
ABCF3	1	M19_SSI	M19_SSI	1	SSI	I	NA	0	NotInduced	NA	NA	TRUE
ABCG1	1	M19	M19_1_Weak_F	1	SexBiased_Female	F	NA	0	NotInduced	NA	NA	FALSE
ABCG2	3	G21_SB:G22:M19	G21_SB_Male_AC_1:G22_110000000:M19_0_Robust_M	3	SexBiased_Male	M	01000	0	NotInduced	NA	NA	FALSE
ABCG5	3	G21_TCPOBOP:L17:M19	G21_TCPOBOP_Down_AC_3_FC_0:L17_M27_D:M19_2_WeakMismatch_M	1	Conflict	C	NA	2	Induced_Male_Down_T27	M_D_T27	0110100000	FALSE
ABCG8	2	G22:L17	G22_110000000:L17_M27_D	1	SexBiased_Male	M	NA	1	Induced_Male_Down_T27	M_D_T27	NA	FALSE
ABHD14A	1	M19_SSI	M19_SSI	1	SSI	I	NA	0	NotInduced	NA	NA	TRUE
ABHD14B	2	G21_TCPOBOP:L17	G21_TCPOBOP_Down_AC_2_FC_1:L17_M27_D	0	NotSexBiased	NA	NA	2	Induced_Both_Down_T27	B_D_T27,M_D_T27	0001101000	FALSE
ABHD15	1	G21_TCPOBOP	G21_TCPOBOP_Down_AC_3_FC_2	0	NotSexBiased	NA	NA	1	Induced_Male_Down_T27	B_D_T27	1101001010	FALSE
ABHD2	3	G21_SB:G22:M19	G21_SB_Female_AC_2:G22_220000002:M19_5_Robust_F	3	SexBiased_Female	F	02002	0	NotInduced	NA	NA	FALSE
ABHD5	1	G21_TCPOBOP	G21_TCPOBOP_Up_AC_4_FC_1	0	NotSexBiased	NA	NA	1	Induced_Male_Up_T27	B_U_T27	2222002000	FALSE
ABLIM3	1	G22	G22_200000000	1	SexBiased_Female	F	NA	0	NotInduced	NA	NA	FALSE
ABT1	1	M19_SSI	M19_SSI	1	SSI	I	NA	0	NotInduced	NA	NA	TRUE
ACAA1A	1	G21_TCPOBOP	G21_TCPOBOP_Down_AC_0_FC_1	0	NotSexBiased	NA	NA	1	Induced_Female_Down_T27	F_D_T27	0000001000	FALSE
ACAA1B	1	G21_TCPOBOP	G21_TCPOBOP_Up_AC_0_FC_1	0	NotSexBiased	NA	NA	1	Induced_Female_Up_T27	F_U_T27	0000000002	FALSE
ACAA2	1	M19_SSI	M19_SSI	1	SSI	I	NA	0	NotInduced	NA	NA	TRUE
ACACA	1	G21_TCPOBOP	G21_TCPOBOP_Up_AC_1_FC_0	0	NotSexBiased	NA	NA	1	Induced_Male_Up_T27	M_U_T27	0020000000	FALSE
ACACB	2	G21_SB:G22	G21_SB_Female_AC_1:G22_220000002	2	SexBiased_Female	F	00200	0	NotInduced	NA	NA	FALSE
ACAD8	1	M19_SSI	M19_SSI	1	SSI	I	NA	0	NotInduced	NA	NA	TRUE
ACAT1	1	L17	L17_M27_D	0	NotSexBiased	NA	NA	1	Induced_Male_Down_T27	M_D_T27	NA	FALSE
ACAT2	1	G22	G22_020000000	1	SexBiased_Female	F	NA	0	NotInduced	NA	NA	FALSE
ACAT3	1	G21_TCPOBOP	G21_TCPOBOP_Down_AC_0_FC_2	0	NotSexBiased	NA	NA	1	Induced_Female_Down_T27	F_D_T27	0000011000	FALSE
ACBD3	1	M19_SSI	M19_SSI	1	SSI	I	NA	0	NotInduced	NA	NA	TRUE
ACBD4	2	L17:M19_SSI	L17_M27_D:M19_SSI	1	SSI	I	NA	1	Induced_Male_Down_T27	M_D_T27	NA	FALSE
ACER3	1	L17	L17_M27_U	0	NotSexBiased	NA	NA	1	Induced_Male_Down_T27	M_D_T27	NA	FALSE
ACIN1	1	M19_SSI	M19_SSI	1	SSI	I	NA	0	NotInduced	NA	NA	TRUE
ACKR3	1	G21_TCPOBOP	G21_TCPOBOP_Up_AC_1_FC_1	0	NotSexBiased	NA	NA	1	Induced_Male_Up_T27	B_U_T27	0200002000	FALSE
ACLY	1	G22	G22_020000000	1	SexBiased_Female	F	NA	0	NotInduced	NA	NA	FALSE
ACMSD	2	G21_TCPOBOP:L17	G21_TCPOBOP_Up_AC_5_FC_5:L17_M27_U	0	NotSexBiased	NA	NA	2	Induced_Both_Both_T27	B_U_T27,M_D_T27	2222222222	FALSE
ACNAT2	3	G21_SB:G22:M19	G21_SB_Female_AC_5:G22_220000020:M19_7_Robust_F	3	SexBiased_Female	F	22222	0	NotInduced	NA	NA	FALSE
ACO1	1	G21_TCPOBOP	G21_TCPOBOP_Up_AC_1_FC_2	0	NotSexBiased	NA	NA	1	Induced_Male_Up_T27	B_U_T27	0020002002	FALSE
ACOT2	2	G21_SB:M19	G21_SB_Female_AC_1:M19_0_Robust_F	2	SexBiased_Female	F	00002	0	NotInduced	NA	NA	FALSE
ACOT3	4	G21_SB:G21_TCPOBOP:G22:M19	G21_SB_Female_AC_5:G21_TCPOBOP_Down_AC_1_FC_5:G22_220000020:M19_8_Robust_F	3	SexBiased_Female	F	22222	1	Induced_Male_Down_T27	B_D_T27	1000011111	FALSE
ACOT4	2	G21_SB:M19	G21_SB_Female_AC_1:M19_5_Robust_F	2	SexBiased_Female	F	02000	0	NotInduced	NA	NA	FALSE
ACOX2	1	M19	M19_1_Weak_M	1	SexBiased_Male	M	NA	0	NotInduced	NA	NA	FALSE
ACP6	1	M19_SSI	M19_SSI	1	SSI	I	NA	0	NotInduced	NA	NA	TRUE
ACSF2	1	G21_TCPOBOP	G21_TCPOBOP_Down_AC_0_FC_1	0	NotSexBiased	NA	NA	1	Induced_Female_Down_T27	F_D_T27	0000000010	FALSE
ACSL1	1	G21_TCPOBOP	G21_TCPOBOP_Up_AC_3_FC_0	0	NotSexBiased	NA	NA	1	Induced_Male_Up_T27	M_U_T27	0220200000	FALSE
ACSL3	2	G21_TCPOBOP:G22	G21_TCPOBOP_Up_AC_1_FC_0:G22_020000000	1	SexBiased_Female	F	NA	1	Induced_Male_Up_T27	M_U_T27	0000200000	FALSE
ACSL5	1	G22	G22_020000000	1	SexBiased_Female	F	NA	0	NotInduced	NA	NA	FALSE
ACSL6	1	M19	M19_0_Robust_M	1	SexBiased_Male	M	NA	0	NotInduced	NA	NA	FALSE
ACSM1	2	G21_TCPOBOP:M19_SSI	G21_TCPOBOP_Up_AC_1_FC_1:M19_SSI	1	SSI	I	NA	1	Induced_Male_Up_T27	B_U_T27	0200002000	FALSE
ACSM2	2	G21_TCPOBOP:L17	G21_TCPOBOP_Up_AC_2_FC_0:L17_M27_U	0	NotSexBiased	NA	NA	2	Induced_Male_Both_T27	M_U_T27,M_D_T27	2020000000	FALSE
ACSM3	2	G21_TCPOBOP:M19_SSI	G21_TCPOBOP_Down_AC_1_FC_0:M19_SSI	1	SSI	I	NA	1	Induced_Male_Down_T27	M_D_T27	0001000000	FALSE
ACSM5	1	M19	M19_1_Weak_M	1	SexBiased_Male	M	NA	0	NotInduced	NA	NA	FALSE
ACSS2	3	G22:L17:M19	G22_220000002:L17_F3_D:M19_1_Weak_F	2	SexBiased_Female	F	NA	1	Induced_Female_Down_T3	F_D_T3	NA	FALSE
ACSS3	4	G21_SB:G21_TCPOBOP:G22:M19	G21_SB_Female_AC_1:G21_TCPOBOP_Down_AC_1_FC_0:G22_222000022:M19_0_Robust_F	3	SexBiased_Female	F	00002	1	Induced_Male_Down_T27	M_D_T27	0000100000	FALSE
ACTB	1	M19_SSI	M19_SSI	1	SSI	I	NA	0	NotInduced	NA	NA	TRUE
ACTG1	1	G22	G22_220000000	1	SexBiased_Female	F	NA	0	NotInduced	NA	NA	FALSE
